Finished inserting in 14.664182 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 1]
Finished inserting in 1.160551 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 2]
Assembled in 4.809872 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 2]
Finished inserting in 0.497579 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 2]
Assembled in 2.577740 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 2]
Finished inserting in 0.481935 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 2]
Assembled in 2.681221 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 2]
Finished inserting in 0.510747 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 2]
Assembled in 2.457762 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 2]
Finished inserting in 0.347670 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 2]
Assembled in 1.968963 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 2]
Finished inserting in 0.576782 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 2]
Assembled in 2.160830 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 2]
Finished inserting in 0.271978 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 2]
Assembled in 1.575084 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 2]
Finished inserting in 0.291184 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 2]
Assembled in 1.558887 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 2]
Finished inserting in 0.178765 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 2]
Assembled in 1.394778 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 2]
Finished inserting in 4.279240 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 4]
Assembled in 17.477996 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 4]
Finished inserting in 2.281926 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 4]
Assembled in 9.091513 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 4]
Finished inserting in 1.039560 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 4]
Assembled in 4.649501 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 4]
Finished inserting in 0.501538 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 4]
Assembled in 2.974782 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 4]
Finished inserting in 0.404469 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 4]
Assembled in 2.546889 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 4]
Finished inserting in 0.256032 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 4]
Assembled in 1.530299 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 4]
Finished inserting in 0.495781 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 4]
Assembled in 2.118972 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 4]
Finished inserting in 0.217922 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 4]
Assembled in 1.437187 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 4]
Finished inserting in 0.148754 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 4]
Assembled in 1.297477 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 4]
Finished inserting in 0.172906 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 4]
Assembled in 1.274753 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 4]
Finished inserting in 0.128701 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 4]
Assembled in 1.059304 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 4]
Finished inserting in 0.139258 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 4]
Assembled in 1.044456 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 4]
Finished inserting in 0.100937 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 4]
Assembled in 0.979619 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 4]
Finished inserting in 2.245107 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 8]
Assembled in 9.058375 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 1, nodes: 8]
Finished inserting in 1.296054 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 8]
Assembled in 5.239248 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 2, nodes: 8]
Finished inserting in 0.496201 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 8]
Assembled in 3.061351 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 4, nodes: 8]
Finished inserting in 0.318354 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 8]
Assembled in 1.911500 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 8, nodes: 8]
Finished inserting in 0.463773 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 8]
Assembled in 1.938988 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 10, nodes: 8]
Finished inserting in 0.087545 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 8]
Assembled in 1.057314 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 16, nodes: 8]
Finished inserting in 0.137981 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 8]
Assembled in 1.226187 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 20, nodes: 8]
Finished inserting in 0.098357 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 8]
Assembled in 0.998875 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 30, nodes: 8]
Finished inserting in 0.077342 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 8]
Assembled in 0.923958 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 32, nodes: 8]
Finished inserting in 0.097248 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 8]
Assembled in 0.854723 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 40, nodes: 8]
Finished inserting in 0.083154 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 8]
Assembled in 0.783234 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 50, nodes: 8]
Finished inserting in 0.102212 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 8]
Assembled in 0.727342 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 60, nodes: 8]
Finished inserting in 0.114887 [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 8]
Assembled in 0.769373 total. [kmer file: my_datasets/human-chr14-synthetic.txt, ranks per node: 64, nodes: 8]
